name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Stay Home,5,6,6,6,5,5,7,6,5,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Health & Safety,0,1,0,0,0,1,1,0,3,1,0,1,2,1,1,1,1,3,2,1,2,2,3,2,1,1,1,2,1,1,1
Economy,3,2,1,1,1,2,3,5,1,3,3,5,4,5,4,2,3,5,5,5,5,5,4,4,3,4,4,5,7,2,4
Trump Virus,2,0,3,4,4,0,0,1,0,2,2,0,3,2,3,4,5,2,3,2,1,1,2,3,4,2,2,1,2,6,3
Maga,1,3,2,2,2,3,2,2,2,0,1,2,1,3,2,3,2,4,4,3,3,3,1,1,2,3,3,3,3,3,2
Global Pandemic,4,4,4,3,3,4,4,3,4,4,5,6,5,4,5,5,7,6,6,6,7,7,5,6,6,6,6,6,5,5,6
Chinese Virus,6,12,10,9,9,9,13,12,6,6,8,8,7,8,11,11,4,1,1,4,4,4,7,7,7,5,7,7,6,12,7
Music,9,13,9,7,6,16,11,7,7,7,6,7,8,7,6,6,6,7,7,7,6,6,6,5,5,7,5,4,4,4,5
Supertuesday,10,9,5,5,12,19,19,15,14,9,12,15,12,22,16,9,17,34,29,25,19,32,25,35,34,17,38,29,10,34,36
NYC,17,8,8,8,10,10,12,11,12,8,9,11,16,13,9,10,12,8,8,12,8,8,8,9,10,8,8,8,8,8,8
Toilet Paper,26,28,21,10,15,8,5,4,10,17,17,16,6,6,7,8,10,10,15,15,16,19,23,43,21,39,27,31,23,35,29
Defeat Trump,7,15,15,13,13,17,15,10,9,15,13,14,15,10,8,18,13,9,13,14,10,9,15,17,12,20,11,10,9,18,12
Tech,19,16,11,14,16,15,18,18,11,13,10,17,9,16,27,13,21,14,14,10,11,18,10,15,13,9,10,15,17,7,17
Travel,13,14,13,11,14,11,16,13,15,10,16,9,18,20,22,16,18,17,26,26,23,27,29,34,37,23,18,28,39,37,21
Canada,16,25,18,21,23,18,14,17,13,25,19,12,11,9,10,7,8,11,9,9,9,11,11,8,8,10,15,9,18,13,9
SXSW,25,24,7,17,18,6,8,19,25,28,29,27,24,31,15,35,19,22,28,20,17,34,27,21,17,12,14,21,26,24,24
California,8,11,14,12,7,12,9,14,30,27,21,31,28,23,39,25,32,39,42,34,30,44,35,29,41,40,30,33,35,42,42
Seattle,21,26,27,20,8,13,10,8,8,14,14,20,21,25,19,15,11,23,17,8,15,15,16,16,28,22,20,11,20,28,15
Wash Hands,20,29,19,23,20,7,6,9,20,18,22,13,22,19,24,43,24,33,39,35,24,25,38,37,19,35,35,14,32,32,37
AI & Tech,12,18,12,18,17,23,21,22,19,21,15,28,20,14,17,14,25,18,21,22,25,16,30,14,25,18,12,22,14,9,14
Big Tech,24,22,16,16,11,14,22,25,26,24,28,18,19,17,21,19,20,19,30,21,14,26,22,22,38,28,24,23,36,22,16
Work from Home,45,21,25,30,26,21,31,34,22,16,18,19,14,12,25,12,9,12,11,11,22,24,9,10,9,11,9,20,13,10,10
Supply Chain,15,20,17,15,24,22,28,29,16,38,26,24,35,42,37,22,31,27,22,18,32,35,41,38,20,29,31,43,11,27,38
Florida,28,10,22,28,21,28,17,16,24,23,25,22,26,21,28,21,22,21,18,29,27,13,31,18,30,15,19,18,30,20,13
Medicare for All,14,19,20,32,30,24,20,23,18,12,24,10,17,11,13,23,28,26,33,31,26,28,17,36,39,32,34,24,27,36,41
