name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Education & Parenting,32,30,28,31,32,30,30,21,17,11,11,26,13,18,14,24,14,20,16,13,21,23,24,12,14,24,16,12,28,17,20
n95 masks,11,5,24,22,19,32,39,35,41,47,44,44,46,47,45,45,45,42,45,40,43,29,45,27,42,38,13,17,25,40,31
Sports,43,37,40,39,37,37,23,33,38,20,7,4,10,15,29,17,16,30,23,32,34,31,36,25,29,21,42,39,31,26,34
Online Learning,48,46,36,33,28,33,26,28,23,19,20,23,25,26,36,26,23,13,10,23,18,40,28,32,15,30,21,30,41,19,30
Climate Change,18,36,29,29,34,29,25,31,31,32,40,41,33,35,32,34,38,25,32,28,36,39,32,28,33,25,33,32,37,29,22
Mental Health,39,40,38,40,48,36,36,41,32,39,33,38,30,24,23,20,15,16,12,16,12,12,14,13,11,13,17,13,19,14,19
Real Estate,36,34,23,24,29,38,38,38,36,26,35,29,32,43,41,44,43,38,25,33,40,33,18,33,27,31,26,26,38,11,28
Podcasts,35,39,37,41,42,35,33,26,33,22,23,35,34,29,34,27,29,15,19,19,28,17,13,26,24,33,25,19,12,15,18
Veterans,31,32,30,46,43,25,41,32,34,37,36,30,44,28,20,39,30,40,24,41,31,14,20,40,31,16,22,38,15,30,27
topic34,47,31,26,25,31,27,43,45,29,30,37,45,39,40,43,40,35,28,34,37,45,42,39,41,43,36,36,44,40,21,43
Memes,38,35,41,36,41,34,24,36,28,36,34,33,27,27,31,30,39,24,31,42,37,30,33,24,22,37,29,16,33,16,32
topic36,37,43,42,43,38,39,27,30,44,33,46,25,23,33,18,29,27,32,46,39,39,10,26,11,35,43,40,36,22,41,33
topic37,29,38,31,37,33,43,47,20,21,43,38,21,45,37,26,33,44,31,44,43,42,38,42,39,16,34,47,46,45,47,26
topic38,30,17,35,34,39,26,42,37,27,44,32,32,38,32,35,37,36,46,36,44,41,45,43,31,47,44,44,42,46,44,45
topic39,22,7,47,47,25,46,45,42,47,48,43,34,40,45,30,38,41,43,37,27,35,37,37,30,40,26,28,27,29,38,44
Faith,33,41,45,44,47,40,44,40,35,45,47,37,29,34,12,41,40,37,38,30,29,20,19,42,32,41,39,25,16,25,11
topic41,41,23,34,45,35,31,34,27,40,35,30,39,37,46,40,28,34,35,35,38,38,43,40,23,36,42,41,37,21,39,35
topic42,23,45,44,35,44,20,29,44,46,34,31,43,42,39,46,42,42,41,41,45,44,36,46,46,44,45,45,41,34,43,39
topic43,42,47,43,42,36,48,37,39,42,41,45,40,31,30,33,36,26,44,27,36,20,22,12,20,18,27,32,34,24,31,40
topic44,40,42,39,38,45,42,35,43,37,31,41,42,41,44,44,32,37,36,40,17,33,41,34,44,23,14,37,40,43,23,23
topic45,34,27,33,27,40,44,32,47,45,29,27,36,43,36,42,46,46,45,43,46,46,46,47,45,45,46,43,45,47,45,46
topic46,27,48,48,19,27,47,48,24,48,46,48,46,47,41,48,48,48,47,48,48,48,47,44,48,48,47,48,47,48,48,48
topic47,44,44,46,48,46,45,40,48,39,40,42,47,36,38,38,31,33,29,20,24,13,21,21,19,26,19,23,35,42,33,25
topic48,46,33,32,26,22,41,46,46,43,42,39,48,48,48,47,47,47,48,47,47,47,48,48,47,46,48,46,48,44,46,47
