state,date,sentiment,p25,p75,median,total,row,col,pval
TX,1.5,-0.09441406478578893,-0.4939,0.2481,9570,7,5,3.045e-60
TX,3.5,-0.07448218850222584,-0.4588,0.2732,20891,7,5,5.3e-76
TX,5.5,-0.045142727448329145,-0.4142,0.3182,5177,7,5,1.72e-08
TX,7.5,-0.06900646080760095,-0.4588,0.296,4210,7,5,5.267e-16
TX,9.5,-0.07144969385255939,-0.4588,0.296,4083,7,5,2.398e-16
TX,11.5,-0.05179057222082178,-0.4215,0.30495,3967,7,5,8.409e-07
TX,13.5,-0.03672518820577165,-0.42045,0.3612,3188,7,5,1.072e-05
TX,15.5,0.013112225705329158,-0.3818,0.4215,2871,7,5,0.3
TX,17.5,-0.012364270286948474,-0.4002,0.3804,3241,7,5,0.6948
TX,19.5,-0.0026827883860842277,-0.3919,0.4019,3823,7,5,0.7416
TX,21.5,0.006315135834411385,-0.4019,0.4215,3092,7,5,0.4663
TX,23.5,0.03260959079283888,-0.3182,0.43074999999999997,3910,7,5,0.004779
TX,25.5,0.034448540065861684,-0.34,0.4404,4555,7,5,0.0007143
TX,27.5,0.02737032273152479,-0.3612,0.42765,4276,7,5,0.004544
TX,29.5,0.011689391056137014,-0.3612,0.4199,4204,7,5,0.04307
TX,31.0,0.02356062732150227,-0.34,0.424,2423,7,5,0.04187
ALL,1.5,-0.09066573148408898,-0.4939,0.25,142040,0,0,0.0
ALL,3.5,-0.055845851672253644,-0.4215,0.296,312632,0,0,0.0
ALL,5.5,-0.041790954104229,-0.4019,0.3182,76543,0,0,3.114e-97
ALL,7.5,-0.05015015880924207,-0.429925,0.3182,64228,0,0,7.294e-107
ALL,9.5,-0.06042910640079889,-0.4404,0.296,62086,0,0,9.944e-171
ALL,11.5,-0.0348466015374204,-0.4019,0.3182,57629,0,0,5.412e-48
ALL,13.5,-0.016321696074900978,-0.3818,0.3612,44432,0,0,8.824e-09
ALL,15.5,0.015992861746696747,-0.34,0.4019,43442,0,0,2.577e-07
ALL,17.5,0.005774428842333393,-0.3818,0.4019,44296,0,0,0.02687
ALL,19.5,0.015022770817980839,-0.3612,0.41054999999999997,51566,0,0,6.822e-10
ALL,21.5,0.021877362244327708,-0.3632,0.4215,44735,0,0,5.638e-15
ALL,23.5,0.029246735078139713,-0.34,0.4215,53110,0,0,5.789e-33
ALL,25.5,0.03636036142598981,-0.34,0.4404,60870,0,0,7.173e-55
ALL,27.5,0.026961848885260955,-0.3612,0.4329,58803,0,0,4.585e-36
ALL,29.5,0.011620135116784355,-0.3818,0.4215,58912,0,0,1.425e-05
ALL,31.0,0.017869140740740738,-0.3637,0.4215,33750,0,0,5.505e-08
OH,1.5,-0.08141984732824427,-0.4588,0.2263,4061,4,10,1.53e-19
OH,3.5,-0.044077169047111495,-0.3818,0.296,9382,4,10,2.813e-15
OH,5.5,-0.03212797413793104,-0.3818,0.3182,2320,4,10,0.007194
OH,7.5,-0.04461064891846922,-0.4497,0.34695,1803,4,10,0.0187
OH,9.5,-0.049501265822784815,-0.4215,0.296,2133,4,10,4.863e-05
OH,11.5,-0.013231609712230214,-0.3612,0.35774999999999996,2224,4,10,0.0344
OH,13.5,0.003051432378414394,-0.3612,0.4019,1501,4,10,0.9206
OH,15.5,0.061150808457711446,-0.296,0.4404,1608,4,10,7.022e-07
OH,17.5,0.024382528891910265,-0.3818,0.4215,1471,4,10,0.007784
OH,19.5,0.04287842401500938,-0.3612,0.4404,1599,4,10,0.0006673
OH,21.5,0.05996748120300752,-0.27342500000000003,0.4404,1596,4,10,2.104e-05
OH,23.5,0.060815406809001736,-0.296,0.4404,1733,4,10,9.055e-08
OH,25.5,0.07194862765406525,-0.2732,0.4767,1931,4,10,7.03e-10
OH,27.5,0.03634356647090229,-0.3612,0.4404,1873,4,10,0.007101
OH,29.5,0.031938675775091956,-0.3437,0.4404,1903,4,10,0.0197
OH,31.0,0.03453492217898833,-0.34175,0.451625,1028,4,10,0.1897
AR,1.5,-0.11793170254403133,-0.5392,0.23065,511,6,7,2.696e-07
AR,3.5,-0.08596651583710407,-0.4767,0.2732,884,6,7,0.0002127
AR,5.5,-0.060961809045226134,-0.4959,0.3283,199,6,7,0.07926
AR,7.5,-0.18871764705882352,-0.5641499999999999,0.0,187,6,7,5.82e-05
AR,9.5,-0.05866153846153846,-0.4588,0.3182,221,6,7,0.214
AR,11.5,-0.06965884615384615,-0.449975,0.2615,260,6,7,0.2389
AR,13.5,-0.042676744186046514,-0.4068,0.30155,172,6,7,0.218
AR,15.5,0.025790740740740746,-0.37277499999999997,0.390875,162,6,7,0.3912
AR,17.5,0.039391935483870974,-0.27055,0.421,186,6,7,0.05571
AR,19.5,-0.01363846153846154,-0.34604999999999997,0.35045000000000004,234,6,7,0.5324
AR,21.5,-0.008276439790575917,-0.3818,0.33805,191,6,7,0.2182
AR,23.5,0.009605392156862737,-0.38527500000000003,0.3818,204,6,7,0.8724
AR,25.5,0.027556637168141593,-0.390675,0.4437,226,6,7,0.6719
AR,27.5,0.016630567685589518,-0.3191,0.4019,229,6,7,0.4854
AR,29.5,-0.016359154929577475,-0.296,0.3182,213,6,7,0.8872
AR,31.0,0.046306779661016956,-0.296,0.3818,118,6,7,0.1795
VA,1.5,-0.0900136518771331,-0.4939,0.2516,2637,6,9,3.114e-16
VA,3.5,-0.047632593713229116,-0.4019,0.3089,5949,6,9,1.645e-09
VA,5.5,-0.051900906555090665,-0.4019,0.2728,1434,6,9,0.0008155
VA,7.5,-0.05602247882986913,-0.4215,0.2732,1299,6,9,0.002184
