clusterId,topicName,hashtags
10,NYC,nyc newyork ny boston newyorkcity westchester newjersey nj mta nyccoronavirus connecticut newrochelle manhattan cuomo massachusetts nyclockdown weather brooklyn communityspread jewish westchestercounty co mbta ct pa subway longisland andrewcuomo ma nypd cambridge statenisland covid19nyc bronx newyorkers deblasio cambma marathon city queens ublove ctpolitics,3015
11,Seattle,seattle amazon washington covid19seattle washingtonstate seattlecoronavirus komonews death oregon seattlecovid19 kirkland pricegouging wa kingcounty portland amazonprime patriotsawakened pnw state pdx employee groundzeroseattle wegotthisseattle lifecarecenter goldenrule snohomish employer washingtoncoronavirus,2948
12,Toilet Paper,toiletpaper panicbuying toiletpapercrisis toiletpaperpanic costco toiletpapergate toiletpaperapocalypse coronvirusuk covid19australia walmart costcopanicbuying water toiletpaperemergency shopping hoarding panickbuying panicbuy panicbuyers tp idiots stockpiling riggedprimary toiletpaperwars riggeddnc madness mafs hoarders coles bidet toiletpapershortage woolworths,2817
13,Bernie2020,medicareforall biden bernie2020 berniesanders joebiden bernie m4a voteforbernie notmeus medicare4all history paidsickleave bernieforpresident greennewdeal sanders sundayfunday universalhealthcare berniebeatstrump boxing neverbiden feelthebern berniebros berniesanders2020 democratic democrats2020 aoc hunterbiden m4all meth presidentsanders russian trumptrain2020 debate cancelbiden singlepayer,2815
14,Canada,cdnpoli canada covid19canada bcpoli toronto onpoli vancouver covidcanada ontario bc covidontario cdnhealth yyj covid19ontario covid19bc vanpoli uspoli ttc bchealth ibd healthandsafety britishcolumbia topoli onhealth trudeau canpoli cdnecon yvr gobus northvan covidbc vanre surreybc covid19toronto justintrudeau canadians canlab bced covid19vancouver essentialservices dougford burnaby boc richmondbc ableg yyc saanich,2769
15,Supertuesday,supertuesday supertuesday2020 vote supertuesdayresults nashvillestrong cheliv warrenjobs warren2020 votebernie apocalypse nashvilletornado 2020elections californiaprimary joementum bidenforpresident elizabethwarren ivoted electionday votewarren supertuesdsy choosewarren texasprimary nashvilletn vote2020 votersuppression bluenomatterwho voting prayfornashville scprimary withthesehands warrendropout gotv facup,2577
16,SarsCov2,sarscov2 2019ncov ncov2019 wuflu novelcoronavirus sars_cov_2 ncov diamondprincess ncov19 bioweapon pittsburgh sarscov19 cov19 pennsylvania sars2 biowarfare ncp wpxi æ__æ±‰è‚ºç‚_ hcov19,2564
17,Travel,travel cruise airlines insurance tourism aviation travelban restaurants airports hotels airport vacation avgeek hospitality airtravel flights traveltuesday traveltips travelnews americanairlines alerts delta flight remoteworkforce tsa travelinsurance cruises traveling paxex wanderlust deals travelrestrictions flying ship airplane aircraft familytravel claims tourist cruising cancellation coverage restrictions travelblogger plane camping,2448
18,UK cases,us world uk live eu beijing borisjohnson deaths coronoavirusoutbreak un worldwide stream rip cases impeached4life moscow loser england tuesday britain morallybankrupt indiapostusa theageofthetrumpsewer loans states thenewnormal confirmed aslowashumanitycancrawl pedophile deathrate sarsvirus population,2348
19,California,california losangeles grandprincess sanfrancisco la sandiego homeless ca cruiseship bayarea oakland sf dtla princesscruises homelessness dem losangeleslockdown berkeley wsr gavinnewsom grandprincesscruise socal bart losangelescounty placercounty santamonica princess sanjose princesscruise tx,2161
