clusterId,topicName,hashtags
112,,missouri nrwp republicanparty kansas kansascity kcmo,163
113,,hawaii hinews maui honolulu,161
114,,remotelearning futureready erate remoteteaching,161
115,,endthefed opensource declassify legalizeit overthrowstatusquo 2partiesgottago,154
116,,iwd2020 greysanatomy yesbank erdogan auratmarch powertrip mathishard,153
117,,social videos responsibility distancing,151
118,,getmeppe getusppe weneedppe,141
119,,f1 motogp ausgp formula1 australiangp,140
120,,sales socialselling digitalselling employeeexperience salestips,140
121,,mapoli bospoli,139
122,,michigan detroit,139
123,,paidsickdays paidleave,138
124,,wisconsin malliard milwaukee ada specialeducation,136
125,,worldbdday pregnancy manybirthdefects1voice pregnant,129
126,,eccc2020 eccc emeraldcitycomiccon comicbooks,126
127,,wherearethetests wherearethemasks,126
128,,warzone callofduty modernwarfare callofdutymodernwarfare cod xboxone codmw,121
129,,northcarolina wakecounty,119
130,,vaping vape vapingsaveslives wevapewevote vapefam,117
131,,philly philadelphia,117
132,,nc clt charlotte rdu,117
133,,popefrancis vatican pope,117
134,,billgates event201 agenda21 depopulation,113
135,,tax taxes irs,113
136,,ottnews ottawa ottcity,112
137,,case island first santa,112
138,,freedom libertarian governance liberty,111
139,,pressconference pressbriefing,111
140,,namaste handshake challenge indian,110
141,,xinjiang uyghur uighur uyghurs genocide,108
142,,seniors aging olderadults geriatrics,105
143,,nhpolitics nh wmur,104
144,,vr virtualreality ar augmentedreality,103
145,,abq nm nmpol rockoftalk abqfm,100
146,,coachella coachella2020 stagecoach,98
147,,catholic catholictwitter,96
148,,poetry haiku poem,96
149,,thewolfofflossstreet newbrooklyn iaintdoneyet pray4me rsktkrs whatitsgonnabe wp kaya,96
150,,nola neworleans,93
151,,gis arcgis esri geography healthgis,92
152,,closetheschools,91
153,,design architecture engineering,91
154,,periscope cameroon sdny lubbock,91
155,,teamkentucky togetherky healthyathome,91
156,,bbb20 bbb2020,89
157,,chsnews scnews chs,89
158,,businessnews retailnews,88
159,,vegan plantbased govegan,88
160,,horror scary zombies zombie,87
161,,fema dhs disasters iaem,85
162,,obamacare aca,81
163,,gamedev indie indiedev gdc2020 indiegame,81
164,,cuba venezuela,80
165,,socialdistancingworks togetherapart americaindia onelovingfamily,80
166,,ripgop anyonebuttrump2020 impeachedpresident incompetenttrump,79
167,,accessibility disabilities aoda,79
168,,spread antiviral solution biohazard,79
169,,indiana indianapolis indy,79
170,,orpol harvard orleg,78
171,,disinfect airborne maskup,78
172,,scprimary2020 southcarolinaprimary,76
173,,elderly caregivers,72
174,,lysol clorox,70
175,,phoenix garden gardening summer,70
176,,mattgaetzisatool mattgaetz,70
177,,mepolitics maine,69
178,,warroompandemic warroom2020,68
179,,heatmap plagues pestilence warnothers,68
180,,running run runchat,67
181,,beach sunset ocean landscape,66
182,,followthemoney covid2020 nuclear geoengineering,66
183,,ldnont purecountry,65
184,,handmade organic bridal dogsoftwittter gifts,64
185,,wiunion wipolitics wiright,63
186,,chronicillness spoonie,63
187,,starwars babyyoda,61
188,,ip patent patents,61
189,,e32020 e3,60
190,,agriculture farming farm,60
191,,stimulusbill stimulusplan,60
192,,resign,59
193,,stressed selfisolated kindergarten,59
194,,boeing notuncertain everett hubris,56
195,,corruptgop,55
196,,wccb ncnews cltnews,53
197,,coronavirius smartphone,52
198,,compassion empathy,52
199,,onlyfans onlyfansgirl,52
200,,notdying4wallstreet notdyingforwallstreet,52
201,,poll polls,51
202,,stop cambodia humans,50
203,,argentina chile,50
204,,ygk ppc,49
205,,refugees migrants,49
206,,hoaxpresident,49
207,,kashmir lockdownuk covid2019india,49
208,,robinhood robinhoodapp chase,49
209,,stayinghome rolltide,49
210,,webex cisco,48
211,,emgtwitter smem phep,48
212,,cough fever,48
213,,newbluehand bluehand,48
214,,bernieorbust2020 bernieorbust,47
215,,recovery addiction,47
216,,siliconvalley santaclaracounty,46
217,,millennials genz,46
218,,californiacoronavirus lalockdown,44
219,,stimuluspackage2020 stimuluscheck,44
220,,healthequity sdoh,42
221,,mediabias myrtlebeach journalismmatters johndaly,42
222,,whatsapp nysc,39
223,,canadacovid19 cndpoli,39
224,,studyabroad intled,38
225,,meat pork chicken,38
226,,vtpoli covid19vt,36
227,,mulan blackwidow,35
228,,peopledie,35
229,,lastweektonight johnoliver,35
230,,vaxartinc vaxart,34
231,,fightfor15 unionsforall,34
232,,daylightsavingtime springforward,34
233,,tb tuberculosis,32
234,,ass porn pussy,32
235,,freespeech drliwenliang,31
236,,vetsresistsquadron veteransagainstvotingstupid,30
237,,nomedicaidcuts protectmedicaid,30
238,,batman dccomics,29
239,,hpv hpvawarenessday,28
240,,nymc nymcshsp,27
241,,mixer mixerstreamer,26
242,,soybeans corn,23
243,,blametrump,23
244,,illinoisprimary floridaprimary,23
245,,whiskey whisky,21
246,,loveisblindreunion worldbookday,21
247,,cvs walgreens,21
