name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
topic0,6,8,6,6,6,7,7,7,5,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
topic1,0,1,0,0,2,3,1,0,1,0,1,0,1,1,1,1,1,3,3,1,2,2,1,1,2,1,2,2,2,3,2
topic2,1,2,2,1,1,1,2,2,3,2,0,1,3,3,2,2,2,4,4,3,3,3,3,3,1,2,1,3,3,1,1
topic3,2,0,3,3,3,0,0,1,0,1,2,2,2,2,3,3,3,1,1,2,1,1,2,2,3,3,3,1,1,2,3
topic4,4,3,1,2,0,2,4,5,2,3,4,5,4,6,5,4,5,5,5,5,5,7,7,4,4,5,4,7,7,5,4
topic5,5,4,4,4,4,6,3,3,4,4,5,6,5,4,4,5,7,6,6,6,6,5,4,5,5,6,5,5,4,4,7
topic6,3,5,5,5,5,5,8,6,6,7,6,9,8,9,8,9,11,10,8,12,10,9,8,8,18,20,12,11,12,15,11
topic7,8,12,14,9,11,13,14,12,7,6,9,8,7,8,12,12,4,2,2,4,4,4,5,6,8,4,7,6,6,13,6
topic8,10,13,8,7,7,17,13,8,9,8,7,7,9,7,7,8,6,7,7,7,7,6,6,7,6,8,6,4,5,6,5
topic9,23,28,22,8,17,10,5,4,14,16,16,17,6,5,6,10,12,11,16,17,17,23,23,49,32,50,31,33,26,59,40
topic10,20,11,13,11,10,16,16,13,15,10,14,11,18,18,13,17,18,13,12,16,8,11,11,10,13,9,9,8,8,10,10
topic11,15,14,9,12,14,14,20,18,10,13,11,16,10,16,25,15,19,17,14,13,13,21,9,17,15,7,15,23,15,7,22
topic12,16,23,17,22,25,20,15,19,12,24,20,14,13,11,10,7,9,15,10,11,11,12,15,9,10,10,18,9,17,17,8
topic13,18,21,26,16,9,12,10,9,8,12,13,15,19,23,16,18,13,23,17,8,15,16,20,19,28,26,22,16,18,27,19
topic14,9,10,11,10,8,11,12,14,29,25,18,34,26,24,40,23,42,41,55,42,37,67,46,30,50,51,28,47,46,81,51
topic15,24,25,20,20,18,21,24,15,11,9,10,10,11,12,11,14,8,8,9,10,12,14,13,11,9,14,11,12,23,16,15
topic16,19,26,18,23,20,9,6,10,19,18,21,13,22,19,21,47,23,36,53,43,30,25,54,39,26,41,38,19,45,39,44
topic17,13,16,10,15,16,25,21,22,17,20,15,26,20,15,15,16,25,18,20,24,27,19,31,16,33,22,16,28,14,8,16
topic18,25,24,7,17,22,8,11,21,27,29,32,42,28,38,18,41,22,25,30,29,29,57,37,24,27,19,20,31,30,34,30
topic19,29,17,19,21,21,19,28,39,13,15,19,23,14,21,22,11,14,9,11,14,22,33,18,13,12,15,14,24,35,9,21
topic20,21,18,15,14,13,15,22,26,22,22,28,18,21,17,17,20,20,19,29,23,14,32,21,25,43,23,30,25,50,23,17
topic21,14,19,16,13,26,24,31,34,16,46,24,22,36,65,36,22,36,28,24,21,39,50,61,38,25,32,33,99,13,30,45
topic22,58,20,25,31,27,23,34,37,20,14,17,19,15,13,24,13,10,16,13,15,25,31,12,15,11,12,13,27,16,11,13
topic23,11,7,27,25,15,22,23,20,30,17,23,35,27,42,26,56,56,44,49,28,42,48,52,76,42,28,75,49,40,41,28
topic24,32,9,21,30,24,31,19,17,23,23,25,20,25,22,29,21,26,24,19,34,32,17,32,22,34,17,19,26,36,22,20
topic25,12,6,24,24,19,36,45,36,46,93,68,74,75,95,77,70,69,57,92,52,60,36,87,29,64,44,17,21,25,76,34
topic26,55,41,44,40,40,43,26,35,36,21,8,4,12,14,28,19,16,29,26,36,40,40,45,27,35,25,70,44,39,29,43
topic27,17,38,29,29,32,30,27,33,32,37,48,69,35,37,33,35,52,26,31,31,45,53,35,32,39,29,34,36,54,31,25
topic28,31,36,37,34,37,28,25,27,21,27,33,30,24,20,27,32,49,22,28,40,35,29,30,21,23,42,24,14,22,20,29
topic29,37,35,23,26,29,44,43,44,35,26,39,27,33,63,56,66,64,37,25,35,53,41,19,35,29,34,29,29,49,12,32
topic30,152,130,131,194,128,4,17,52,111,140,206,117,16,54,184,169,176,164,183,9,63,76,131,117,143,123,8,22,137,150,160
topic31,45,48,43,45,74,46,46,51,33,49,43,61,30,26,19,26,17,21,18,19,18,18,17,18,17,16,21,20,33,19,27
topic32,40,44,38,35,42,48,32,45,34,33,50,45,48,59,41,30,33,27,44,18,26,60,41,51,21,13,27,37,44,24,23
topic33,35,39,41,38,35,39,29,29,49,32,79,21,23,28,14,27,29,30,75,45,50,10,26,12,38,62,47,38,28,57,35
topic34,7,70,108,117,136,116,127,11,52,135,123,76,97,78,9,64,95,75,109,113,115,8,16,112,90,89,106,146,10,62,84
topic35,36,58,45,41,33,56,82,30,26,54,40,28,66,48,30,38,70,47,126,60,58,47,51,54,45,47,89,134,135,90,33
topic36,44,61,48,42,39,89,44,41,42,47,75,63,31,27,31,28,21,55,27,38,21,20,14,23,24,30,25,41,19,28,36
topic37,28,15,39,33,44,29,49,42,28,59,37,33,41,31,35,37,44,83,42,65,54,72,62,33,94,82,86,72,139,94,67
topic38,50,34,34,32,36,42,47,62,44,36,49,41,85,53,70,33,38,45,38,37,55,22,59,53,37,24,35,65,69,18,42
